Date : 2024-07-04 15:30:10
Directory : c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master
Total : 273 files,  49635 codes, 272 comments, 4170 blanks, all 54077 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\utils\tests                                                                                                                              |          5 |        595 |          0 |         69 |        664 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\FUNDING.yml                                            | YAML               |          1 |          0 |          0 |          1 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\ISSUE_TEMPLATE\bug.yml                                 | YAML               |         40 |          1 |          5 |         46 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\ISSUE_TEMPLATE\improvement.yml                         | YAML               |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\prerelease.yml                               | YAML               |         55 |          0 |          9 |         64 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\release.yml                                  | YAML               |         50 |          0 |         10 |         60 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\test.yml                                     | YAML               |         30 |          0 |          7 |         37 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\CONTRIBUTING.md                                                | Markdown           |         45 |          0 |         29 |         74 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\README.md                                                      | Markdown           |         40 |          0 |         16 |         56 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\biome.json                                                     | JSON               |         32 |          0 |          0 |         32 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\index.html                                                     | Django HTML        |         11 |          0 |          1 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\package-lock.json                                              | JSON               |      9,234 |          0 |          1 |      9,235 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\package.json                                                   | JSON               |         98 |          0 |          1 |         99 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\pnpm-lock.yaml                                                 | YAML               |      5,044 |          0 |      1,404 |      6,448 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\blue.svg                                          | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\brown.svg                                         | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\gray.svg                                          | XML                |         19 |          0 |          0 |         19 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\green.svg                                         | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\ic.svg                                            | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\newspaper.svg                                     | XML                |         25 |          0 |          1 |         26 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\purple.svg                                        | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\alpha.css                                        | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\anarcandy.css                                    | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\california.css                                   | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\cardinal.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\cburnett.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\chess7.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\chessnut.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\companion.css                                    | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\disguised.css                                    | CSS                |         12 |          0 |          0 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\dubrovny.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\fantasy.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\fresca.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\gioco.css                                        | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\governor.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\horsey.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\icpieces.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\kosal.css                                        | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\leipzig.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\letter.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\libra.css                                        | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\maestro.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\merida.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\pirouetti.css                                    | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\pixel.css                                        | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\reillycraig.css                                  | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\riohacha.css                                     | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\shapes.css                                       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\spatial.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\staunty.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\tatiana.css                                      | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\build.rs                                             | Rust               |          3 |          0 |          0 |          3 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\chess.rs                                         | Rust               |        814 |          1 |        100 |        915 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\create.sql                                    | SQL                |         45 |          0 |          5 |         50 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\delete_indexes.sql                            | SQL                |          8 |          0 |          1 |          9 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\encoding.rs                                   | Rust               |         54 |          0 |         10 |         64 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\indexes.sql                                   | SQL                |          7 |          0 |          1 |          8 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\mod.rs                                        | Rust               |      1,382 |         23 |        180 |      1,585 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\models.rs                                     | Rust               |        127 |          0 |         14 |        141 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\ops.rs                                        | Rust               |         56 |          3 |         15 |         74 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\schema.rs                                     | Rust               |        108 |          0 |          9 |        117 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\search.rs                                     | Rust               |        514 |          6 |         66 |        586 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\error.rs                                         | Rust               |         74 |          0 |         31 |        105 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\fide.rs                                          | Rust               |        160 |          0 |         22 |        182 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\fs.rs                                            | Rust               |        149 |          3 |         20 |        172 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\lexer.rs                                         | Rust               |         59 |          0 |         16 |         75 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\main.rs                                          | Rust               |        305 |          0 |         25 |        330 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\oauth.rs                                         | Rust               |        102 |          0 |         18 |        120 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\opening.rs                                       | Rust               |        151 |          0 |         20 |        171 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\pgn.rs                                           | Rust               |        195 |          1 |         47 |        243 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\puzzle.rs                                        | Rust               |        105 |          0 |         19 |        124 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\tauri.conf.json                                      | JSON               |        119 |          0 |          0 |        119 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\App.tsx                                                    | TypeScript JSX     |        163 |          1 |         19 |        183 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\bindings\generated.ts                                      | TypeScript         |        251 |         66 |         12 |        329 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\bindings\index.ts                                          | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\chessground\Chessground.tsx                                | TypeScript JSX     |         72 |          0 |          8 |         80 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\About.tsx                                       | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\ErrorComponent.tsx                              | TypeScript JSX     |         67 |          0 |          4 |         71 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\Sidebar.css.ts                                  | TypeScript         |         34 |          0 |          4 |         38 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\Sidebar.tsx                                     | TypeScript JSX     |         70 |          0 |          7 |         77 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\TopBar.css.ts                                   | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\TopBar.tsx                                      | TypeScript JSX     |        151 |          0 |         10 |        161 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\AnnotationHint.tsx                       | TypeScript JSX     |        260 |          1 |          4 |        265 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Board.tsx                                | TypeScript JSX     |        703 |         10 |         46 |        759 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\BoardAnalysis.tsx                        | TypeScript JSX     |        246 |          0 |         13 |        259 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\BoardGame.tsx                            | TypeScript JSX     |        769 |         29 |         91 |        889 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Clock.css.ts                             | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Clock.tsx                                | TypeScript JSX     |         58 |          0 |          5 |         63 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\CompleteMoveCell.tsx                     | TypeScript JSX     |        140 |          0 |          9 |        149 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EditingCard.css.ts                       | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EditingCard.tsx                          | TypeScript JSX     |         43 |          0 |          4 |         47 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EvalBar.tsx                              | TypeScript JSX     |         87 |          0 |          7 |         94 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EvalListener.tsx                         | TypeScript JSX     |        228 |          0 |         12 |        240 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\GameNotation.tsx                         | TypeScript JSX     |        307 |          0 |         13 |        320 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveCell.css.ts                          | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveCell.tsx                             | TypeScript JSX     |         68 |          0 |          8 |         76 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveInput.tsx                            | TypeScript JSX     |         38 |          0 |          3 |         41 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\OpeningName.tsx                          | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\PiecesGrid.tsx                           | TypeScript JSX     |         43 |          0 |          3 |         46 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\PromotionModal.tsx                       | TypeScript JSX     |         83 |          1 |          5 |         89 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\AccountCards.tsx                         | TypeScript JSX     |        297 |          0 |         11 |        308 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ChallengeHistory.tsx                     | TypeScript JSX     |         80 |          0 |          5 |         85 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\Comment.tsx                              | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ConfirmModal.tsx                         | TypeScript JSX     |         41 |          0 |          5 |         46 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\EvalChart.css.ts                         | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\EvalChart.tsx                            | TypeScript JSX     |        267 |          0 |         19 |        286 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\FileInput.tsx                            | TypeScript JSX     |         36 |          0 |          3 |         39 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GameInfo.css.ts                          | TypeScript         |         85 |          0 |         10 |         95 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GameInfo.tsx                             | TypeScript JSX     |        267 |          0 |          8 |        275 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GenericCard.css.ts                       | TypeScript         |         51 |          0 |          9 |         60 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GenericCard.tsx                          | TypeScript JSX     |         64 |          0 |          4 |         68 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GoModeInput.tsx                          | TypeScript JSX     |         60 |          0 |          6 |         66 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\LocalImage.tsx                           | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\MoveControls.tsx                         | TypeScript JSX     |         60 |          0 |          5 |         65 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\OpenFolderButton.tsx                     | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\Piece.tsx                                | TypeScript JSX     |         78 |          0 |          5 |         83 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ProgressButton.css.ts                    | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ProgressButton.tsx                       | TypeScript JSX     |         95 |          0 |          8 |        103 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ShowMaterial.tsx                         | TypeScript JSX     |         52 |          0 |          4 |         56 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\TimeInput.tsx                            | TypeScript JSX     |         62 |          1 |          4 |         67 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ToggleButtonGroup.tsx                    | TypeScript JSX     |         45 |          0 |          6 |         51 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\TreeStateContext.tsx                     | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\AddDatabase.tsx                       | TypeScript JSX     |        255 |          0 |         15 |        270 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\ConvertButton.tsx                     | TypeScript JSX     |         57 |          0 |          6 |         63 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\DatabaseView.tsx                      | TypeScript JSX     |         81 |          0 |          4 |         85 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\DatabasesPage.tsx                     | TypeScript JSX     |        523 |          0 |         33 |        556 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\FideInfo.tsx                          | TypeScript JSX     |        164 |          0 |         11 |        175 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GameCard.tsx                          | TypeScript JSX     |         76 |          0 |          6 |         82 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GamePreview.tsx                       | TypeScript JSX     |        105 |          0 |          8 |        113 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GameTable.tsx                         | TypeScript JSX     |        323 |          0 |         12 |        335 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GridLayout.css.ts                     | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GridLayout.tsx                        | TypeScript JSX     |         40 |          0 |          4 |         44 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\PlayerCard.tsx                        | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\PlayerSearchInput.tsx                 | TypeScript JSX     |         63 |          0 |          5 |         68 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\PlayerTable.tsx                       | TypeScript JSX     |        170 |          0 |          7 |        177 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\SideInput.css.ts                      | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\SideInput.tsx                         | TypeScript JSX     |         86 |          0 |          6 |         92 |
